,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Norman Wells,75,CA,1619289776,47,65.282,-126.8329,33.8,5.75
1,Najrān,75,SA,1619289777,16,17.4924,44.1277,86.0,11.5
2,Diu,100,IN,1619289779,71,20.7141,70.9822,81.3,13.06
3,Qaanaaq,93,GL,1619289780,69,77.484,-69.3632,27.73,6.49
4,Talnakh,100,RU,1619289781,97,69.4865,88.3972,30.42,13.71
5,Lagoa,35,PT,1619289782,83,39.05,-27.9833,58.86,26.91
6,Jamestown,1,US,1619289636,30,42.097,-79.2353,63.0,13.8
7,Rikitea,100,PF,1619289586,72,-23.1203,-134.9692,78.58,16.37
8,Puerto Ayora,75,EC,1619289663,74,-0.7393,-90.3518,80.6,16.11
9,George Town,40,MY,1619289787,89,5.4112,100.3354,82.0,3.44
10,Hayden,75,US,1619289788,62,47.766,-116.7866,53.01,6.38
11,Chokurdakh,5,RU,1619289790,97,70.6333,147.9167,-13.83,4.36
12,Bathsheba,40,BB,1619289791,58,13.2167,-59.5167,84.2,19.57
13,Aklavik,20,CA,1619289694,60,68.2191,-135.0107,33.8,2.3
14,Avarua,20,CK,1619289793,74,-21.2078,-159.775,80.6,13.8
15,Basoko,100,CD,1619289795,91,1.2391,23.616,73.6,4.81
16,Lebu,0,CL,1619289796,69,-37.6167,-73.65,57.58,17.43
17,Butaritari,52,KI,1619289797,76,3.0707,172.7902,82.47,12.12
18,Longyearbyen,75,SJ,1619289577,63,78.2186,15.6401,26.6,4.61
19,Punta Arenas,75,CL,1619289541,71,-53.15,-70.9167,51.8,16.11
20,Cidreira,8,BR,1619289666,72,-30.1811,-50.2056,73.62,12.46
21,Vardø,100,NO,1619289802,87,70.3705,31.1107,33.73,22.75
22,Ushuaia,75,AR,1619289587,58,-54.8,-68.3,55.4,12.66
23,Busselton,0,AU,1619289804,89,-33.65,115.3333,52.0,1.95
24,Mukhen,97,RU,1619289805,67,48.1,136.1,32.52,6.67
25,Hithadhoo,13,MV,1619289673,69,-0.6,73.0833,83.25,7.29
26,Aykhal,100,RU,1619289808,96,66.0,111.5,20.03,6.24
27,Tuktoyaktuk,40,CA,1619289809,80,69.4541,-133.0374,23.0,6.91
28,Kruisfontein,100,ZA,1619289810,92,-34.0033,24.7314,59.0,1.01
29,Yellowknife,75,CA,1619289661,57,62.456,-114.3525,19.0,12.66
30,Rzhishchëv,0,UA,1619289813,48,49.9689,31.0463,41.0,8.95
31,Dikson,14,RU,1619289580,95,73.5069,80.5464,7.11,12.24
32,Kiryat Gat,4,IL,1619289815,100,31.61,34.7642,68.0,3.09
33,Xucheng,20,CN,1619289816,83,20.35,110.1288,80.6,8.95
34,Asău,50,RO,1619289818,47,46.4333,26.4,46.99,3.56
35,Isiro,100,CD,1619289819,99,2.7739,27.616,67.44,3.29
36,Atar,0,MR,1619289820,10,20.5169,-13.0499,92.48,12.3
37,Balabac,83,PH,1619289822,81,7.9868,117.0645,80.02,5.48
38,Santiago de Cao,75,PE,1619289823,82,-7.9589,-79.2392,66.2,13.8
39,Albany,87,US,1619289824,18,42.6001,-73.9662,69.01,8.43
40,Nikolskoye,20,RU,1619289686,65,59.7035,30.7861,41.0,4.47
41,San Patricio,1,US,1619289827,12,28.017,-97.5169,96.8,14.97
42,Hofn,100,IS,1619289621,83,64.2539,-15.2082,47.26,6.4
43,Marzuq,28,YE,1619289535,69,14.4,46.4667,71.65,7.07
44,Port Hawkesbury,90,CA,1619289830,43,45.6169,-61.3485,52.0,13.8
45,Dehlorān,43,IR,1619289831,9,32.6941,47.2679,87.51,9.55
46,Nurlat,52,RU,1619289832,93,54.4277,50.8051,42.12,9.19
47,Lata,78,PT,1619289834,88,40.1629,-8.3327,64.99,4.38
48,Hermanus,100,ZA,1619289835,81,-34.4187,19.2345,62.01,3.0
49,Viedma,96,AR,1619289836,57,-40.8135,-62.9967,62.08,15.59
50,Acapulco de Juárez,90,MX,1619289683,43,16.8634,-99.8901,89.6,9.22
51,Senanga,49,ZM,1619289839,50,-16.1167,23.2667,68.68,5.12
52,Bairiki Village,75,KI,1619289840,89,1.3292,172.9752,78.8,4.61
53,Norrköping,75,SE,1619289841,36,58.5942,16.1826,42.8,6.91
54,Atuona,0,PF,1619289735,72,-9.8,-139.0333,80.74,20.49
55,High Rock,75,BS,1619289844,74,26.6208,-78.2833,80.6,17.27
56,Soyo,100,AO,1619289845,82,-6.1349,12.3689,79.52,4.56
57,Airai,51,TL,1619289846,92,-8.9266,125.4092,57.27,2.75
58,Ilulissat,40,GL,1619289603,60,69.2167,-51.1,41.0,3.44
59,Vila Nova de Milfontes,19,PT,1619289678,80,37.7238,-8.7828,64.99,7.0
60,Souillac,75,MU,1619289850,83,-20.5167,57.5167,78.8,17.27
61,Khatanga,100,RU,1619289851,97,71.9667,102.5,32.18,16.82
